Zeit	dQIters	relaxationsFaktor	pSoll	pIst	dQ
84.4	 1.0	 0.7	 1158159.6018939393	 1158275.690758835	 8978.720288474024	 
84.4	 2.0	 0.7	 1158159.6018939393	 1158085.5524856194	 22599.8795307334	 
84.4	 3.0	 0.7	 1158159.6018939393	 1158256.033566271	 -18479.87070789694	 
84.4	 4.0	 0.7	 1158159.6018939393	 1157973.1752043362	 41088.46379806597	 
84.4	 5.0	 0.7	 1158159.6018939393	 1158487.433373967	 -55583.38617018454	 
84.4	 6.0	 0.7	 1158159.6018939393	 1157973.1752043362	 -144799.23974417773	 
84.4	 7.0	 0.7	 1158159.6018939393	 1157973.1752043362	 Infinity	 
84.4	 8.0	 0.7	 1158159.6018939393	 NaN	 NaN	 
84.4	 9.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 10.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 11.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 12.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 13.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 14.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 15.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 16.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 17.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 18.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 19.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 20.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 21.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 22.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 23.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 24.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 25.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 26.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 27.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 28.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 29.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 30.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 31.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 32.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 33.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 34.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 35.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 36.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 37.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 38.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 39.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 40.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 41.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 42.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
84.4	 43.0	 0.7	 1158159.6018939393	 1157973.1752043362	 NaN	 
