Kurbelwinkel [°KW]	Zeit [s n. Rechenbeginn]	Brennraumvolumen [m3]	V0 [m3]	V1 [m3]	V2 [m3]	T_Zone_0 [K]	T_Zone_1 [K]	T_Zone_2 [K]	T_mittel [K]	T_BurnAdiabat_0 [K]	T_BurnAdiabat_1 [K]	Lambda z1 [-]	Lambda z0 [-]	Lambda z2 [-]	p_soll [bar]	p_soll_roh [bar]	p [bar]	dQb [J/s]	dQb [J/KW]	Qb [J]	dmb [kg/s]	dmb [kg/KW]	mb [kg]	dQw [J/s]	dQw [J/KW]	dQKrst [J/s]	dQKrst [J/KW]	Qw [J]	Xb[-]	Qb/Qmax [-]	Qmax [J]	Alpha [W/(m^2K)]	Wandwärmestromdichte [MW/m^2]	PQw [W]	Brennraumfläche [m^2]	Gesamtmasse [kg]	m_0[kg]	m_1[kg]	m_2[kg]	Z0_O2 [kg]	Z0_CO2 [kg]	Z0_H2O [kg]	Z0_H [kg]	Z0_O [kg]	Z0_N [kg]	Z0_H2 [kg]	Z0_OH [kg]	Z0_CO [kg]	Z0_NO [kg]	Z0_N2 [kg]	Z0_Ar [kg]	Z0_Diesel [kg]	Z0_RON_95 [kg]	Z0_AGR_intern_LWA [kg]	Z0_AGR_extern_LWA [kg]	Z0_feuchteLuft_LWA [kg]	Z1_O2 [kg]	Z1_CO2 [kg]	Z1_H2O [kg]	Z1_H [kg]	Z1_O [kg]	Z1_N [kg]	Z1_H2 [kg]	Z1_OH [kg]	Z1_CO [kg]	Z1_NO [kg]	Z1_N2 [kg]	Z1_Ar [kg]	Z1_Diesel [kg]	Z1_RON_95 [kg]	Z1_AGR_intern_LWA [kg]	Z1_AGR_extern_LWA [kg]	Z1_feuchteLuft_LWA [kg]	Z2_O2 [kg]	Z2_CO2 [kg]	Z2_H2O [kg]	Z2_H [kg]	Z2_O [kg]	Z2_N [kg]	Z2_H2 [kg]	Z2_OH [kg]	Z2_CO [kg]	Z2_NO [kg]	Z2_N2 [kg]	Z2_Ar [kg]	Z2_Diesel [kg]	Z2_RON_95 [kg]	Z2_AGR_intern_LWA [kg]	Z2_AGR_extern_LWA [kg]	Z2_feuchteLuft_LWA [kg]	 mDieseldampf [kg]	m_Diesel_Z0 [kg]	TKrstVap [K]	mkrstFl [kg]	m_a [kg]	sumdma [kg]	s00 [kg]	dm_a [kg]
-130.0	 0.0	 0.00166397962081229	 0.9990056085582323	 4.971957208838537E-4	 3.3152349092050126E-4	 391.2371784465967	 391.2371784465967	 391.2371784465967	 391.2371784465968	 1247.6938553756722	 1247.6938553756722	 2.1319279333916716	 2.131927933391671	 NaN	 2.679742625981778	 2.6797960189393946	 2.679742625981778	 0.0	 0.0	 0.0	 0.0	 0.0	 2.000000002E-6	 0.0	 0.0	 0.0	 0.0	 0.0	 4.965608243747365E-4	 0.0	 4251.998393145476	 186.196927128438	 -0.015251915665663762	 -1191.3486977982839	 0.07811141393079794	 0.004022560770323295	 0.0040185607703192945	 2.0000000020000006E-6	 2.000000002E-6	 0.19706788511236084	 0.0267964244771044	 0.009656632517943955	 6.24635068285536E-10	 7.250739688009456E-7	 8.760156925395533E-14	 2.4788506459312535E-8	 2.1517612814157317E-5	 1.175046893320798E-6	 3.644019884033043E-4	 0.7428851056322381	 0.0	 0.0	 0.02320610712504404	 0.0	 0.0	 0.0	 0.19706788511236087	 0.0267964244771044	 0.009656632517943957	 6.24635068285536E-10	 7.250739688009456E-7	 8.760156925395534E-14	 2.4788506459312535E-8	 2.1517612814157317E-5	 1.175046893320798E-6	 3.644019884033043E-4	 0.7428851056322381	 0.0	 0.0	 0.02320610712504404	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
-129.8	 2.6147892479866122E-5	 0.0016620534206422933	 0.999005454677564	 4.971956442988884E-4	 3.314854459956513E-4	 391.41569582202885	 391.41569582202885	 391.3708380805385	 391.4156741061814	 1247.842985962495	 1247.842985962495	 2.1319279333916716	 2.1319279333916707	 NaN	 2.6837217998803164	 2.6836960189393944	 2.6840728232650544	 0.0	 0.0	 0.0	 0.0	 0.0	 2.000000002E-6	 -1192.662811432251	 -0.1559280947903267	 0.0	 0.0	 -0.03118561895806534	 4.965608243747365E-4	 0.0	 4251.998393145476	 186.5531417173447	 -0.015248443812476758	 -1190.1145046315169	 0.07804825982686361	 0.004022560770323295	 0.0040185607703192945	 2.0000000020000006E-6	 2.000000002E-6	 0.19706788511236087	 0.0267964244771044	 0.009656632517943955	 6.24635068285536E-10	 7.250739688009456E-7	 8.760156925395533E-14	 2.4788506459312535E-8	 2.1517612814157317E-5	 1.175046893320798E-6	 3.644019884033043E-4	 0.742885105632238	 0.0	 0.0	 0.02320610712504404	 0.0	 0.0	 0.0	 0.19706788511236084	 0.0267964244771044	 0.009656632517943955	 6.24635068285536E-10	 7.250739688009455E-7	 8.760156925395533E-14	 2.478850645931253E-8	 2.1517612814157313E-5	 1.1750468933207978E-6	 3.644019884033043E-4	 0.7428851056322381	 0.0	 0.0	 0.02320610712504404	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
-129.6	 5.2295784959732244E-5	 0.0016601198990815207	 0.9990052474177696	 4.971955411476329E-4	 3.314996288772032E-4	 391.5174392315095	 391.5174392315095	 391.4894005313502	 391.51742565641354	 1247.9280584541223	 1247.9280584541223	 2.1319279333916707	 2.131927933391672	 NaN	 2.687688449728046	 2.6876960189393944	 2.687897990399989	 -9110.203993034476	 -1.1910631723975624	 -0.2382126344795125	 0.0	 0.0	 2.000000002E-6	 -1191.3112235299543	 -0.155751388914595	 0.0	 0.0	 -0.062335896740984345	 4.965608243747365E-4	 -5.602368873504943E-5	 4251.998393145476	 186.90048127828467	 -0.015257537816494351	 -1189.8570371860962	 0.07798486567733008	 0.004022560770323295	 0.0040185607703192945	 2.0000000020000006E-6	 2.000000002E-6	 0.1970678851123609	 0.026796424477104404	 0.009656632517943957	 6.246350682855361E-10	 7.250739688009456E-7	 8.760156925395534E-14	 2.4788506459312535E-8	 2.1517612814157317E-5	 1.175046893320798E-6	 3.6440198840330434E-4	 0.7428851056322381	 0.0	 0.0	 0.023206107125044045	 0.0	 0.0	 0.0	 0.19706788511236087	 0.0267964244771044	 0.009656632517943955	 6.24635068285536E-10	 7.250739688009455E-7	 8.760156925395533E-14	 2.478850645931253E-8	 2.1517612814157317E-5	 1.1750468933207978E-6	 3.644019884033043E-4	 0.742885105632238	 0.0	 0.0	 0.02320610712504404	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
-129.4	 7.844367743959836E-5	 0.0016581790640955757	 0.9990050391743832	 4.971954375068527E-4	 3.3151361207340034E-4	 391.62006045113657	 391.62006045113657	 391.6086140240605	 391.62005490869893	 1248.0138643099435	 1248.0138643099435	 2.131927933391672	 2.1319279333916716	 NaN	 2.6916362454050367	 2.6915960189393946	 2.691749986559119	 -9110.203993034476	 -1.1910631723975624	 -0.476425268959025	 0.0	 0.0	 2.000000002E-6	 -1191.0773261157285	 -0.15572080929240253	 0.0	 0.0	 -0.09348005859946484	 4.965608243747365E-4	 -1.1204737747009886E-4	 4251.998393145476	 187.2494952298226	 -0.015266815340671544	 -1189.6090561436224	 0.07792123174336468	 0.004022560770323296	 0.004018560770319295	 2.0000000020000006E-6	 2.000000002E-6	 0.19706788511236087	 0.0267964244771044	 0.009656632517943957	 6.246350682855359E-10	 7.250739688009455E-7	 8.760156925395533E-14	 2.4788506459312532E-8	 2.1517612814157313E-5	 1.1750468933207978E-6	 3.6440198840330434E-4	 0.742885105632238	 0.0	 0.0	 0.023206107125044038	 0.0	 0.0	 0.0	 0.1970678851123609	 0.026796424477104404	 0.009656632517943957	 6.246350682855361E-10	 7.250739688009455E-7	 8.760156925395534E-14	 2.478850645931253E-8	 2.1517612814157317E-5	 1.1750468933207978E-6	 3.6440198840330434E-4	 0.7428851056322381	 0.0	 0.0	 0.023206107125044045	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
-129.2	 1.0459156991946449E-4	 0.0016562309237494537	 0.999004829942143	 4.971953333739293E-4	 3.3152739492350354E-4	 391.7235621536805	 391.7235621536805	 391.7284803792151	 391.7235645353711	 1248.100405795713	 1248.100405795713	 2.1319279333916716	 2.131927933391672	 NaN	 2.6955665821364034	 2.6954960189393944	 2.6956289623743985	 -9110.203993034476	 -1.1910631723975624	 -0.7146379034385375	 0.0	 0.0	 2.000000002E-6	 -1190.8308700902967	 -0.1556885877641325	 0.0	 0.0	 -0.12461777615229135	 4.965608243747365E-4	 -1.680710662051483E-4	 4251.998393145476	 187.60018854057034	 -0.015275992839160344	 -1189.348447704716	 0.07785735828939347	 0.004022560770323296	 0.004018560770319295	 2.0000000020000006E-6	 2.000000002E-6	 0.1970678851123609	 0.026796424477104404	 0.009656632517943957	 6.24635068285536E-10	 7.250739688009455E-7	 8.760156925395534E-14	 2.4788506459312532E-8	 2.1517612814157317E-5	 1.1750468933207978E-6	 3.644019884033044E-4	 0.7428851056322381	 0.0	 0.0	 0.02320610712504404	 0.0	 0.0	 0.0	 0.19706788511236087	 0.0267964244771044	 0.009656632517943955	 6.24635068285536E-10	 7.250739688009454E-7	 8.760156925395533E-14	 2.4788506459312525E-8	 2.1517612814157313E-5	 1.1750468933207976E-6	 3.644019884033043E-4	 0.7428851056322381	 0.0	 0.0	 0.02320610712504404	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
-129.0	 1.307394623993306E-4	 0.001654275486208241	 0.9990046197157362	 4.971952287462186E-4	 3.315409767711567E-4	 391.82794699570513	 391.82794699570513	 391.84900140279376	 391.827957192557	 1248.1876864692176	 1248.1876864692176	 2.131927933391671	 2.131927933391672	 NaN	 2.6994764337695107	 2.6994960189393944	 2.699535069550704	 -9110.203993034476	 -1.1910631723975624	 -0.95285053791805	 0.0	 0.0	 2.000000002E-6	 -1190.5717523655514	 -0.15565471085210117	 0.0	 0.0	 -0.1557487183227116	 4.965608243747365E-4	 -2.2409475494019772E-4	 4251.998393145476	 187.95256621980886	 -0.015285068772478103	 -1189.0751087723318	 0.0777932455831242	 0.004022560770323297	 0.004018560770319296	 2.0000000020000006E-6	 2.000000002E-6	 0.1970678851123609	 0.026796424477104404	 0.009656632517943957	 6.24635068285536E-10	 7.250739688009454E-7	 8.760156925395533E-14	 2.4788506459312525E-8	 2.1517612814157317E-5	 1.1750468933207976E-6	 3.644019884033044E-4	 0.7428851056322381	 0.0	 0.0	 0.02320610712504404	 0.0	 0.0	 0.0	 0.1970678851123609	 0.0267964244771044	 0.009656632517943955	 6.24635068285536E-10	 7.250739688009454E-7	 8.760156925395533E-14	 2.4788506459312525E-8	 2.1517612814157317E-5	 1.1750468933207976E-6	 3.644019884033043E-4	 0.742885105632238	 0.0	 0.0	 0.02320610712504404	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
-128.8	 1.5688735487919673E-4	 0.0016523127597378043	 0.9990044084898071	 4.971951236210549E-4	 3.3155435695773634E-4	 391.933217648889	 391.933217648889	 391.9701789096396	 391.9332355514951	 1248.2757085952362	 1248.2757085952362	 2.131927933391673	 2.1319279333916716	 NaN	 2.7033906139997455	 2.7033960189393946	 2.703468461091249	 -9110.203993034476	 -1.1910631723975624	 -1.1910631723975624	 0.0	 0.0	 2.000000002E-6	 -1190.2998698019383	 -0.15561916507189863	 0.0	 0.0	 -0.18687255133709132	 4.965608243747365E-4	 -2.8011844367524714E-4	 4251.998393145476	 188.30663332194396	 -0.01529404158733493	 -1188.788935776375	 0.0777288938955689	 0.004022560770323298	 0.004018560770319297	 2.0000000020000006E-6	 2.000000002E-6	 0.19706788511236087	 0.0267964244771044	 0.009656632517943957	 6.246350682855359E-10	 7.250739688009453E-7	 8.760156925395532E-14	 2.4788506459312525E-8	 2.1517612814157317E-5	 1.1750468933207974E-6	 3.644019884033044E-4	 0.742885105632238	 0.0	 0.0	 0.023206107125044038	 0.0	 0.0	 0.0	 0.19706788511236092	 0.026796424477104404	 0.009656632517943957	 6.246350682855361E-10	 7.250739688009454E-7	 8.760156925395534E-14	 2.4788506459312525E-8	 2.1517612814157317E-5	 1.1750468933207976E-6	 3.6440198840330434E-4	 0.7428851056322381	 0.0	 0.0	 0.023206107125044045	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
-128.6	 1.8303524735906285E-4	 0.0016503427527054867	 0.9990041962589561	 4.97195017995751E-4	 3.3156753482235183E-4	 392.0393768000831	 392.0393768000831	 392.0920147234828	 392.0394022985927	 1248.364473145707	 1248.364473145707	 2.131927933391673	 2.131927933391672	 NaN	 2.7073262207761983	 2.7073960189393946	 2.7074292913087437	 -9110.203993034476	 -1.1910631723975624	 -1.429275806877075	 0.0	 0.0	 2.000000002E-6	 -1190.0151187779811	 -0.1555819368761088	 0.0	 0.0	 -0.2179889387123131	 4.965608243747365E-4	 -3.361421324102966E-4	 4251.998393145476	 188.66239494671314	 -0.015302909716385968	 -1188.489824662822	 0.07766430350106668	 0.004022560770323298	 0.004018560770319297	 2.000000002000001E-6	 2.000000002E-6	 0.1970678851123609	 0.026796424477104404	 0.009656632517943957	 6.24635068285536E-10	 7.250739688009453E-7	 8.760156925395533E-14	 2.4788506459312525E-8	 2.1517612814157317E-5	 1.1750468933207974E-6	 3.6440198840330444E-4	 0.7428851056322381	 0.0	 0.0	 0.02320610712504404	 0.0	 0.0	 0.0	 0.19706788511236092	 0.026796424477104404	 0.009656632517943957	 6.24635068285536E-10	 7.250739688009453E-7	 8.760156925395533E-14	 2.478850645931252E-8	 2.1517612814157317E-5	 1.1750468933207974E-6	 3.644019884033043E-4	 0.742885105632238	 0.0	 0.0	 0.023206107125044045	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
-128.4	 2.0918313983892898E-4	 0.0016483654735808006	 0.9990039830177391	 4.971949118675974E-4	 3.31580509701845E-4	 392.1464271513685	 392.1464271513685	 392.2145106769642	 392.14646013548366	 1248.4539837169475	 1248.4539837169475	 2.131927933391673	 2.131927933391672	 NaN	 2.7112922203200847	 2.7112960189393944	 2.7114177158366686	 -9110.203993034476	 -1.1910631723975624	 -1.6674884413565876	 0.0	 0.0	 2.000000002E-6	 -1189.7173951882721	 -0.15554301265404666	 0.0	 0.0	 -0.24909754124312242	 4.965608243747365E-4	 -3.9216582114534604E-4	 4251.998393145476	 189.01985623939458	 -0.015311671578095987	 -1188.177670891693	 0.07759947467730648	 0.004022560770323299	 0.004018560770319298	 2.000000002000001E-6	 2.000000002E-6	 0.1970678851123609	 0.0267964244771044	 0.009656632517943957	 6.24635068285536E-10	 7.250739688009452E-7	 8.760156925395532E-14	 2.478850645931252E-8	 2.1517612814157313E-5	 1.1750468933207971E-6	 3.6440198840330444E-4	 0.7428851056322381	 0.0	 0.0	 0.02320610712504404	 0.0	 0.0	 0.0	 0.19706788511236095	 0.026796424477104404	 0.009656632517943955	 6.24635068285536E-10	 7.250739688009453E-7	 8.760156925395533E-14	 2.478850645931252E-8	 2.1517612814157317E-5	 1.1750468933207974E-6	 3.644019884033043E-4	 0.7428851056322379	 0.0	 0.0	 0.023206107125044048	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
-128.2	 2.353310323187951E-4	 0.0016463809309361192	 0.9990037687606677	 4.971948052338627E-4	 3.315932809307913E-4	 392.2543714201146	 392.2543714201146	 392.33766861165924	 392.25441177908647	 1248.5442426124819	 1248.5442426124819	 2.131927933391674	 2.1319279333916716	 NaN	 2.715304531045979	 2.7152960189393944	 2.7154338916406777	 -9110.203993034476	 -1.1910631723975624	 -1.9057010758361002	 0.0	 0.0	 2.000000002E-6	 -1189.406594441435	 -0.15550237873149186	 0.0	 0.0	 -0.28019801698942076	 4.965608243747365E-4	 -4.481895098803955E-4	 4251.998393145476	 189.379022391018	 -0.015320325576602598	 -1187.8523694350029	 0.07753440770534971	 0.0040225607703233	 0.004018560770319299	 2.000000002000001E-6	 2.000000002E-6	 0.19706788511236087	 0.0267964244771044	 0.009656632517943957	 6.246350682855359E-10	 7.250739688009451E-7	 8.76015692539553E-14	 2.4788506459312512E-8	 2.1517612814157313E-5	 1.175046893320797E-6	 3.6440198840330444E-4	 0.742885105632238	 0.0	 0.0	 0.023206107125044038	 0.0	 0.0	 0.0	 0.19706788511236098	 0.02679642447710441	 0.009656632517943957	 6.246350682855361E-10	 7.250739688009453E-7	 8.760156925395534E-14	 2.478850645931252E-8	 2.1517612814157317E-5	 1.1750468933207974E-6	 3.6440198840330434E-4	 0.742885105632238	 0.0	 0.0	 0.02320610712504405	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 -5.55	 0.0	 0.0	 0.0	 0.0	 0.0	 
