Kurbelwinkel [°KW]	pZyl_mess [bar]	pZyl_berech [bar]	pSaug [bar]	pAbg [bar]	T [K]	dQw [J/s]	V [m3]	m [kg]	R [J/kg/K]	mK [kg]	V_motor [m^3]	dm [kg/s]	Hub_E [m]	Hub_A [m]	alpha_E_vor	alpha_E_rück	alpha_A_vor	alpha_A_rück	T_Saug [K]	H_Massenbruch	O_Massenbruch	N_Massenbruch	H2_Massenbruch	OH_Massenbruch	CO_Massenbruch	NO_Massenbruch	O2_Massenbruch	H2O_Massenbruch	CO2_Massenbruch	N2_Massenbruch	RON_95_Massenbruch	AGR_intern_LWA_Massenbruch	AGR_extern_LWA_Massenbruch	feuchteLuft_LWA_Massenbruch
143.0	 1.600560521283179	 1.6201364189297536	 0.4153067607120792	 0.9844964187649852	 1816.5118474544704	 0.0	 4.535931691755988E-4	 1.4736263253336757E-4	 274.531690476562	 1.4736263253336757E-4	 4.554586657655053E-4	 -5.717537915983361E-5	 1.4867511000000001E-5	 0.0	 2.23455196464915E-4	 2.23455196464915E-4	 0.0	 0.0	 472.5684186362315	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
144.0	 1.5825951073627065	 1.6108005396608462	 0.4163901206520688	 1.0072588493597965	 1814.4021498935929	 0.0	 4.554103302885489E-4	 1.4727146532733928E-4	 274.531690476562	 1.4727146532733928E-4	 4.572758268786319E-4	 -0.0013495400101307766	 0.0	 9.6895454E-5	 0.0	 0.0	 0.0016799474134703283	 0.0018222089314513118	 472.5684186362315	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
145.0	 1.5815264875969557	 1.6011643418708306	 0.41593384316084414	 1.0076739867676505	 1812.2139660341534	 0.0	 4.5717908910146595E-4	 1.4713646250369482E-4	 274.531690476562	 1.4713646250369482E-4	 4.590445856917216E-4	 -0.0018684967252943967	 0.0	 1.35074189E-4	 0.0	 0.0	 0.0023418800889993484	 0.0025401954729923916	 472.5684186362315	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
146.0	 1.5681536237496136	 1.5911942263735745	 0.41557519948176447	 1.0084185096091425	 1809.9384743753358	 0.0	 4.5889938649360055E-4	 1.4695500266936258E-4	 274.531690476562	 1.4695500266936258E-4	 4.6076488308402486E-4	 -0.002456999651528548	 0.0	 1.78914941E-4	 0.0	 0.0	 0.0031019792978538123	 0.0033646614985702477	 472.5684186362315	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
147.0	 1.550608775481541	 1.5808588143276932	 0.415214604194835	 1.0089125499973903	 1807.5671418702443	 0.0	 4.6057117054951234E-4	 1.467245926510052E-4	 274.531690476562	 1.467245926510052E-4	 4.6243666714010134E-4	 -0.0030357569150028744	 0.0	 2.2275569200000002E-4	 0.0	 0.0	 0.003862078489370545	 0.004189127505342176	 472.5684186362315	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
148.0	 1.55319088501447	 1.5701264384305895	 0.4148351954240594	 1.010138879341282	 1805.091136059437	 0.0	 4.6219439607327045E-4	 1.464426853680965E-4	 274.531690476562	 1.464426853680965E-4	 4.6405989266401986E-4	 -0.0036842309074384895	 0.0	 2.72598214E-4	 0.0	 0.0	 0.004726234778010648	 0.005126462385412592	 472.5684186362315	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
149.0	 1.5332302374807663	 1.5589697132531573	 0.41446481964641996	 1.012774628704642	 1802.5023635567907	 0.0	 4.637690241144419E-4	 1.4610702199527618E-4	 274.531690476562	 1.4610702199527618E-4	 4.656345207053473E-4	 -0.004317515858407693	 0.0	 3.22440735E-4	 0.0	 0.0	 0.005590391049313021	 0.006063797246677079	 472.5684186362315	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
150.0	 1.5095484939577335	 1.5473661293886458	 0.41394321619991076	 1.015687314396792	 1799.79361383928	 0.0	 4.6529502150621793E-4	 1.4571568465898227E-4	 274.531690476562	 1.4571568465898227E-4	 4.67160518097275E-4	 -0.005011230936040239	 0.0	 3.7803551500000226E-4	 0.0	 0.0	 0.00655427844555202	 0.0071093086765329615	 472.5684186362315	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
151.0	 1.5078276308161804	 1.5352972850117959	 0.4133957066486372	 1.020236153375662	 1796.958389301803	 0.0	 4.667723604159992E-4	 1.4526704714572082E-4	 274.531690476562	 1.4526704714572082E-4	 4.686378570072035E-4	 -0.005682921974947943	 0.0	 4.33630294E-4	 0.0	 0.0	 0.00751816582445321	 0.008154820087582832	 472.5684186362315	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
152.0	 1.494730428638553	 1.522752020013318	 0.41307910964728634	 1.0257075573139547	 1793.9916572361542	 0.0	 4.6820101790872595E-4	 1.4476002000329315E-4	 274.531690476562	 1.4476002000329315E-4	 4.700665145000726E-4	 -0.006403710461863702	 0.0	 4.94889597E-4	 0.0	 0.0	 0.008580263202374004	 0.009306858129131014	 472.5684186362315	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 0.0	 0.0	 
